step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
285,0.285000,-0.084695,0.012671,0.000000,-0.084695,-9.707037,0.999857
286,0.286000,-0.084876,0.013553,0.000000,-0.084876,-9.962456,0.999856
287,0.287000,-0.085019,0.013738,0.000000,-0.085019,-10.147101,0.999855
288,0.288000,-0.085124,0.013223,0.000000,-0.085124,-10.259351,0.999855
289,0.289000,-0.085191,0.012008,0.000000,-0.085191,-10.298085,0.999855
290,0.290000,-0.085221,0.010098,0.000000,-0.085221,-10.262712,0.999855
291,0.291000,-0.085214,0.007503,0.000000,-0.085214,-10.153159,0.999855
292,0.292000,-0.085170,0.004239,0.000000,-0.085170,-9.969907,0.999855
293,0.293000,-0.085092,0.000325,0.000000,-0.085092,-9.713969,0.999855
294,0.294000,-0.084981,-0.004213,0.000000,-0.084981,-9.386897,0.999856
295,0.295000,-0.084838,-0.009346,0.000000,-0.084838,-8.990783,0.999856
296,0.296000,-0.084666,-0.015039,0.000000,-0.084666,-8.528234,0.999857
297,0.297000,-0.084466,-0.021255,0.000000,-0.084466,-8.002366,0.999857
298,0.298000,-0.084240,-0.027951,0.000000,-0.084240,-7.416761,0.999858
299,0.299000,-0.083992,-0.035082,0.000000,-0.083992,-6.775490,0.999859
300,0.300000,-0.083725,-0.042599,0.000000,-0.083725,-6.083019,0.999860
301,0.301000,-0.083440,-0.050449,0.000000,-0.083440,-5.344224,0.999861
302,0.302000,-0.083140,-0.058579,0.000000,-0.083140,-4.564312,0.999862
303,0.303000,-0.082830,-0.066932,0.000000,-0.082830,-3.748828,0.999863
304,0.304000,-0.082512,-0.075448,0.000000,-0.082512,-2.903577,0.999864
305,0.305000,-0.082189,-0.084069,0.000000,-0.082189,-2.034603,0.999865
306,0.306000,-0.081864,-0.092733,0.000000,-0.081864,-1.148102,0.999866
307,0.307000,-0.081542,-0.101378,0.000000,-0.081542,-0.250418,0.999867
308,0.308000,-0.081224,-0.109944,0.000000,-0.081224,0.651998,0.999868
309,0.309000,-0.080915,-0.118370,0.000000,-0.080915,1.552673,0.999869
310,0.310000,-0.080617,-0.126595,0.000000,-0.080617,2.445118,0.999870
311,0.311000,-0.080334,-0.134560,0.000000,-0.080334,3.322906,0.999871
312,0.312000,-0.080069,-0.142207,0.000000,-0.080069,4.179675,0.999872
313,0.313000,-0.079824,-0.149483,0.000000,-0.079824,5.009216,0.999873
314,0.314000,-0.079602,-0.156333,0.000000,-0.079602,5.805481,0.999873
315,0.315000,-0.079406,-0.162708,0.000000,-0.079406,6.562620,0.999874
316,0.316000,-0.079238,-0.168562,0.000000,-0.079238,7.275054,0.999874
317,0.317000,-0.079101,-0.173851,0.000000,-0.079101,7.937485,0.999875
318,0.318000,-0.078996,-0.178536,0.000000,-0.078996,8.544934,0.999875
319,0.319000,-0.078925,-0.182583,0.000000,-0.078925,9.092793,0.999875
320,0.320000,-0.078890,-0.185961,0.000000,-0.078890,9.576856,0.999876
