step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
246,0.246000,0.072198,0.105728,0.000000,0.072198,-0.197559,0.999894
247,0.247000,0.072246,0.105302,0.000000,0.072246,-0.187170,0.999894
248,0.248000,0.072304,0.104860,0.000000,0.072304,-0.176692,0.999893
249,0.249000,0.072372,0.104404,0.000000,0.072372,-0.166493,0.999893
250,0.250000,0.072450,0.103933,0.000000,0.072450,-0.156687,0.999893
251,0.251000,0.072537,0.103449,0.000000,0.072537,-0.146110,0.999892
252,0.252000,0.072634,0.102953,0.000000,0.072634,-0.135736,0.999892
253,0.253000,0.072740,0.102444,0.000000,0.072740,-0.125682,0.999891
254,0.254000,0.072854,0.101924,0.000000,0.072854,-0.115103,0.999891
255,0.255000,0.072978,0.101394,0.000000,0.072978,-0.104906,0.999890
256,0.256000,0.073109,0.100854,0.000000,0.073109,-0.094422,0.999890
257,0.257000,0.073249,0.100305,0.000000,0.073249,-0.084706,0.999889
258,0.258000,0.073397,0.099748,0.000000,0.073397,-0.074208,0.999889
259,0.259000,0.073553,0.099183,0.000000,0.073553,-0.064353,0.999888
260,0.260000,0.073716,0.098611,0.000000,0.073716,-0.054531,0.999887
261,0.261000,0.073886,0.098034,0.000000,0.073886,-0.044214,0.999887
262,0.262000,0.074062,0.097450,0.000000,0.074062,-0.034544,0.999886
263,0.263000,0.074246,0.096863,0.000000,0.074246,-0.024530,0.999885
264,0.264000,0.074436,0.096271,0.000000,0.074436,-0.014473,0.999885
265,0.265000,0.074631,0.095676,0.000000,0.074631,-0.004815,0.999884
266,0.266000,0.074833,0.095078,0.000000,0.074833,0.004992,0.999883
267,0.267000,0.075040,0.094478,0.000000,0.075040,0.014123,0.999883
268,0.268000,0.075252,0.093878,0.000000,0.075252,0.024251,0.999882
269,0.269000,0.075468,0.093276,0.000000,0.075468,0.033730,0.999881
270,0.270000,0.075690,0.092675,0.000000,0.075690,0.044082,0.999880
271,0.271000,0.075915,0.092075,0.000000,0.075915,0.054270,0.999880
272,0.272000,0.076144,0.091476,0.000000,0.076144,0.064193,0.999879
273,0.273000,0.076377,0.090879,0.000000,0.076377,0.073750,0.999878
274,0.274000,0.076614,0.090285,0.000000,0.076614,0.083064,0.999877
275,0.275000,0.076853,0.089694,0.000000,0.076853,0.091960,0.999876
276,0.276000,0.077095,0.089108,0.000000,0.077095,0.100536,0.999876
277,0.277000,0.077339,0.088526,0.000000,0.077339,0.109546,0.999875
278,0.278000,0.077585,0.087950,0.000000,0.077585,0.117975,0.999874
279,0.279000,0.077833,0.087380,0.000000,0.077833,0.126108,0.999873
280,0.280000,0.078083,0.086817,0.000000,0.078083,0.133855,0.999873
281,0.281000,0.078333,0.086260,0.000000,0.078333,0.141759,0.999872
282,0.282000,0.078584,0.085712,0.000000,0.078584,0.148967,0.999871
283,0.283000,0.078836,0.085173,0.000000,0.078836,0.155687,0.999870
284,0.284000,0.079089,0.084642,0.000000,0.079089,0.162230,0.999869
285,0.285000,0.079341,0.084122,0.000000,0.079341,0.168664,0.999869
286,0.286000,0.079592,0.083611,0.000000,0.079592,0.174758,0.999868
287,0.287000,0.079844,0.083111,0.000000,0.079844,0.180338,0.999867
288,0.288000,0.080094,0.082622,0.000000,0.080094,0.186202,0.999866
289,0.289000,0.080343,0.082145,0.000000,0.080343,0.191652,0.999865
290,0.290000,0.080591,0.081680,0.000000,0.080591,0.197052,0.999865
291,0.291000,0.080837,0.081228,0.000000,0.080837,0.201658,0.999864
292,0.292000,0.081081,0.080788,0.000000,0.081081,0.206205,0.999863
293,0.293000,0.081322,0.080361,0.000000,0.081322,0.209477,0.999862
294,0.294000,0.081562,0.079948,0.000000,0.081562,0.212938,0.999862
295,0.295000,0.081798,0.079549,0.000000,0.081798,0.216105,0.999861
