step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
313,0.313000,-0.059350,0.266877,0.000000,-0.059350,-6.751282,0.999907
314,0.314000,-0.061001,0.272582,0.000000,-0.061001,-7.499631,0.999905
315,0.315000,-0.062528,0.278014,0.000000,-0.062528,-8.485354,0.999903
316,0.316000,-0.063930,0.283129,0.000000,-0.063930,-8.273302,0.999902
317,0.317000,-0.065205,0.287888,0.000000,-0.065205,-7.462214,0.999901
318,0.318000,-0.066349,0.292252,0.000000,-0.066349,-8.040672,0.999900
319,0.319000,-0.067361,0.296185,0.000000,-0.067361,-8.876630,0.999900
320,0.320000,-0.068239,0.299648,0.000000,-0.068239,-8.678942,0.999901
321,0.321000,-0.068982,0.302590,0.000000,-0.068982,-9.181108,0.999901
322,0.322000,-0.069587,0.304949,0.000000,-0.069587,-9.771306,0.999902
323,0.323000,-0.070055,0.306723,0.000000,-0.070055,-10.928339,0.999904
324,0.324000,-0.070384,0.307966,0.000000,-0.070384,-11.691845,0.999905
325,0.325000,-0.070573,0.308663,0.000000,-0.070573,-12.554331,0.999907
326,0.326000,-0.070623,0.308764,0.000000,-0.070623,-13.927663,0.999910
327,0.327000,-0.070533,0.308269,0.000000,-0.070533,-14.092363,0.999913
328,0.328000,-0.070303,0.307155,0.000000,-0.070303,-12.607521,0.999916
329,0.329000,-0.069934,0.305383,0.000000,-0.069934,-9.987966,0.999919
330,0.330000,-0.069427,0.302882,0.000000,-0.069427,-9.003466,0.999923
331,0.331000,-0.068783,0.299591,0.000000,-0.068783,-9.254114,0.999927
332,0.332000,-0.068003,0.295453,0.000000,-0.068003,-8.990254,0.999931
333,0.333000,-0.067089,0.290380,0.000000,-0.067089,-8.509368,0.999935
334,0.334000,-0.066044,0.284345,0.000000,-0.066044,-7.974073,0.999939
335,0.335000,-0.064869,0.277437,0.000000,-0.064869,-6.915724,0.999943
336,0.336000,-0.063568,0.269834,0.000000,-0.063568,-6.837790,0.999947
337,0.337000,-0.062144,0.261643,0.000000,-0.062144,-5.836915,0.999952
338,0.338000,-0.060601,0.252875,0.000000,-0.060601,-4.616171,0.999956
339,0.339000,-0.058942,0.243541,0.000000,-0.058942,-4.103801,0.999960
340,0.340000,-0.057172,0.233670,0.000000,-0.057172,-3.661483,0.999965
341,0.341000,-0.055294,0.223296,0.000000,-0.055294,-3.278540,0.999969
342,0.342000,-0.053314,0.212486,0.000000,-0.053314,-2.971657,0.999973
343,0.343000,-0.051236,0.201258,0.000000,-0.051236,-2.690217,0.999976
344,0.344000,-0.049065,0.189673,0.000000,-0.049065,-2.335065,0.999980
345,0.345000,-0.046805,0.177810,0.000000,-0.046805,-1.931515,0.999983
346,0.346000,-0.044463,0.165718,0.000000,-0.044463,-1.531680,0.999986
347,0.347000,-0.042043,0.153427,0.000000,-0.042043,-1.092509,0.999989
348,0.348000,-0.039551,0.140963,0.000000,-0.039551,-0.624177,0.999992
349,0.349000,-0.036992,0.128345,0.000000,-0.036992,-0.204891,0.999994
350,0.350000,-0.034372,0.115591,0.000000,-0.034372,0.176811,0.999996
351,0.351000,-0.031697,0.102720,0.000000,-0.031697,0.544605,0.999997
352,0.352000,-0.028972,0.089760,0.000000,-0.028972,0.900197,0.999998
353,0.353000,-0.026203,0.076736,0.000000,-0.026203,1.238723,0.999999
354,0.354000,-0.023396,0.063678,0.000000,-0.023396,1.561393,1.000000
355,0.355000,-0.020556,0.050617,0.000000,-0.020556,1.868281,1.000000
356,0.356000,-0.017691,0.037582,0.000000,-0.017691,2.149944,1.000000
357,0.357000,-0.014804,0.024600,0.000000,-0.014804,2.390490,0.999999
358,0.358000,-0.011903,0.011695,0.000000,-0.011903,2.588263,0.999999
359,0.359000,-0.008993,-0.001109,0.000000,-0.008993,2.755503,0.999997
